year,affiliation,paper_count,region,country
2021,Kuaishou- 快手科技,2,Other/Unknown,Unknown
2021,Kumo AI,1,Other/Unknown,Unknown
2021,Kwangwoon University,1,Other/Unknown,"Korea, Republic of"
2021,Kyoto University,7,Asia-Pacific (excl. China),Japan
2021,Kyushu Tokai University,1,Asia-Pacific (excl. China),Japan
2021,Kyushu University,1,Asia-Pacific (excl. China),Japan
2021,LAAS / CNRS,1,Other/Unknown,Unknown
2021,LBOX,1,Other/Unknown,Unknown
2021,LG AI Research,3,Asia-Pacific (excl. China),South Korea
2021,LG Corporation,1,Other/Unknown,Unknown
2021,LIP6,2,Other/Unknown,Unknown
2021,LMU,1,Other/Unknown,Unknown
2021,LY Corporation,1,Other/Unknown,Unknown
2021,Lancaster University,1,Middle East & Africa,Ghana
2021,Latent Labs,2,Other/Unknown,Unknown
2021,LatticeFlow,1,Other/Unknown,Unknown
2021,Lehigh University,2,United States,United States
2021,Libera Università degli Studi di Scienze Umane e Tecnologiche,3,Europe,Switzerland
2021,LinkedIn,11,United States,United States
2021,Linköping University,2,Europe,Sweden
2021,Liquid AI,2,Other/Unknown,Unknown
2021,Lomonosov Moscow State University,2,Europe,Russia
2021,"London School of Economics and Political Science, University of London",2,Europe,United Kingdom
2021,"London School of Hygiene & Tropical Medicine, University of London",2,Europe,United Kingdom
2021,Ludwig Maximilian University of Munich,1,Europe,Germany
2021,Ludwig-Maximilians-Universität München,4,Europe,Germany
2021,Lund University,3,Europe,Sweden
2021,Lyon College,3,United States,United States
2021,METR,1,Other/Unknown,Unknown
2021,MPI-SWS,9,Other/Unknown,Unknown
2021,Maastricht University,1,Europe,Netherlands
2021,Macquarie University,1,Asia-Pacific (excl. China),Australia
2021,Magnum Engine,1,Other/Unknown,Unknown
2021,Mahidol University,1,Asia-Pacific (excl. China),Thailand
2021,Maluuba,1,Other/Unknown,Unknown
2021,Manuel S. Enverga University Foundation,1,Asia-Pacific (excl. China),Philippines
2021,Marine Biological Laboratory,5,United States,United States
2021,Massachusetts Institute of Technology,189,United States,United States
2021,MathWorks,1,United States,United States
2021,Max Planck Institute,42,Europe,Germany
2021,Mayo Clinic,3,United States,United States
2021,McGill University,21,Canada,Canada
2021,McMaster University,5,Canada,Canada
2021,MediaTek,4,China,Taiwan
2021,Meituan,5,China,China
2021,Memorial University of Newfoundland,2,Canada,Canada
2021,Meta AI,157,United States,United States
2021,MetaCarbon,1,Other/Unknown,Unknown
2021,Michigan State University,13,United States,United States
2021,Microsoft,183,United States,United States
2021,Microsoft Research Asia,11,China,China
2021,Midjourney,1,Other/Unknown,Unknown
2021,Mila - Quebec AI Institute,41,Canada,Canada
2021,Milwaukee School of Engineering,2,United States,United States
2021,MiniMax,2,Other/Unknown,Unknown
2021,Mississippi State University,2,United States,United States
2021,Modern University For Technology and Information,2,Middle East & Africa,Egypt
2021,Modl.ai,2,Other/Unknown,Unknown
2021,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),35,Middle East & Africa,United Arab Emirates
2021,Momenta,1,Other/Unknown,Unknown
